809 791
BX14 10.751252988074075 106.65256208879025
BX06 10.7767894851893 106.70585699056292
Q1T030 10.773223266971607 106.70639541003383
Q1T053 10.771943699538125 106.70606190372999
Q1T054 10.774520578726056 106.7031828267653
Q1T047 10.77526173639229 106.70149678398577
Q1T048 10.773879719528388 106.7002180408379
Q1T049 10.772506913790535 106.69894868541087
BX03 10.770862717230598 106.69853160193384
Q1T124 10.768956977608928 106.69607360215782
Q1T125 10.767362156802449 106.69469829948541
Q1T126 10.765831881418453 106.69337524159633
Q1T127 10.763918208544968 106.69169483765141
Q1T128 10.762219937344907 106.69028667792107
Q1T129 10.759385289903172 106.68782252661211
Q1T130 10.757467623495828 106.68603276436646
Q5T092 10.755839541651751 106.68284351491451
Q5T093 10.755564176211806 106.6818276282535
Q5T094 10.75500158183605 106.67980592485844
Q5T095 10.754483787903627 106.67785730001569
Q5T096 10.753973894774846 106.67601392855344
Q5T097 10.753507482457872 106.67431744301146
Q5T098 10.752902064885246 106.67150045299012
Q5T112 10.752922489412565 106.6683715978974
Q5T099 10.752453437943922 106.66617157423299
Q5T100 10.752265685878546 106.66372672905912
Q5T101 10.752114165377368 106.66202486743562
Q5T014 10.751380285090162 106.65888000068254
Q5T015 10.75092506685809 106.65824499935503
Q5T016 10.751079221879017 106.65509206265797
BX06 10.7767894851893 106.70585699056292
Q1T030 10.773223266971607 106.70639541003383
Q1T053 10.771943699538125 106.70606190372999
Q1T054 10.774520578726056 106.7031828267653
Q1T047 10.77526173639229 106.70149678398577
Q1T048 10.773879719528388 106.7002180408379
Q1T049 10.772506913790535 106.69894868541087
BX02 10.771138899451769 106.6985299579451
Q1T039 10.771231602259686 106.69582122970515
Q1T144 10.77097074795343 106.69267671266381
Q1T145 10.769646020698943 106.69078973199234
Q1T146 10.767691527409415 106.688590320596
Q1T006 10.766937920207203 106.68782087077015
Q3T073 10.76769022301506 106.68369112943874
Q3T074 10.766323982582609 106.68244591390652
Q3T075 10.767080882644173 106.68112626706754
Q3T021 10.771248746159413 106.67750394379298
Q10T097 10.773362127566847 106.6783565552621
Q10T003 10.773562216226274 106.67719417399302
Q10T004 10.772642623781179 106.67572164124381
Q10T005 10.771512232658605 106.6739084679496
Q10T006 10.770429267760697 106.67206042594148
Q10T007 10.769530745482973 106.67040550297926
Q10T008 10.768513645444449 106.66856014317358
Q10T009 10.76749654197216 106.66660481279828
Q10T010 10.764561155036173 106.6612323481416
Q11T001 10.763472896319044 106.65919655150563
Q11T002 10.7618734351797 106.65627562588837
Q11T003 10.760424163226961 106.65360951012752
Q11T004 10.759359602663457 106.65162467545638
Q11T005 10.758495301998462 106.65003412550722
Q11T006 10.75732006156359 106.64786690062314
Q11T007 10.756347719126325 106.64603763407816
Q11T008 10.755117132177334 106.64379262512901
Q6T089 10.753264820165406 106.64292993858342
Q6T019 10.74969775172041 106.64151195681245
Q6T020 10.748458573424681 106.63646538054779
Q6T021 10.747828772917856 106.63401048875042
Q6T022 10.747413735526242 106.63231935596593
